file,protocol,hit_rate,lines,words,total,hits,invalidations,shared_access,private_access,S->M,E->M
trace1.txt,MESI,0.3307291666666667,64,1,196608,65024,0,0,65024,0,32768
trace1.txt,MESI,0.3307291666666667,128,1,196608,65024,0,0,65024,0,32768
trace1.txt,MESI,0.3357747395833333,256,1,196608,66016,0,0,66016,0,32768
trace1.txt,MESI,0.6536458333333334,1024,1,196608,128512,198,195,128317,198,32570
trace1.txt,MESI,0.8060811360677084,4096,1,196608,158482,202,731,157751,464,17438
trace1.txt,MESI,0.6654561360677084,64,4,196608,130834,15,16,130818,1,8259
trace1.txt,MESI,0.81256103515625,128,4,196608,159756,33,154,159602,33,6273
trace1.txt,MESI,0.95343017578125,256,4,196608,187452,33,525,186927,81,2449
trace1.txt,MESI,0.9780680338541666,1024,4,196608,192296,51,1684,190612,255,1773
trace1.txt,MESI,0.8518778483072916,4096,4,196608,167486,15710,70931,96555,9581,177
trace1.txt,MESI,0.90069580078125,64,16,196608,177084,5,28,177056,6,3706
trace1.txt,MESI,0.9492594401041666,128,16,196608,186632,9,42,186590,9,1953
trace1.txt,MESI,0.9807078043619791,256,16,196608,192815,38,741,192074,50,200
trace1.txt,MESI,0.9066619873046875,1024,16,196608,178257,10094,76772,101485,7926,58
trace1.txt,MESI,0.9024861653645834,4096,16,196608,177436,10180,76141,101295,8113,8
trace1.txt,MESI,0.9493611653645834,64,32,196608,186652,3,13,186639,3,1949
trace1.txt,MESI,0.9742838541666666,128,32,196608,191552,38,282,191270,37,978
trace1.txt,MESI,0.9386698404947916,256,32,196608,184550,5110,71262,113288,5120,24
trace1.txt,MESI,0.8668924967447916,1024,32,196608,170438,14181,86270,84168,11903,4
trace1.txt,MESI,0.8655242919921875,4096,32,196608,170169,14098,84648,85521,11903,4
trace1.txt,MESI,0.9730987548828125,64,64,196608,191319,73,1829,189490,113,994
trace1.txt,MESI,0.9000905354817709,128,64,196608,176965,8595,35186,141779,8614,435
trace1.txt,MESI,0.7898457845052084,256,64,196608,155290,22435,94778,60512,17899,10
trace1.txt,MESI,0.794830322265625,1024,64,196608,156270,22371,96250,60020,17924,2
trace1.txt,MESI,0.7941538492838541,4096,64,196608,156137,22329,95405,60732,17924,2
